
 
---------- Probe ---------
 
N1 = 60.0
N2 = 60.0
A = 1.286E-6
LM = 0.02207
NU = 1.0
R = 0.101134
 
--------- Signal ---------
 
signal = Triangle
amplitude = 9.190000
f = 151.000000
Fs = 800000.000000
waves = 2.0
date = 30/11/2018 12:12
 
---------- Misc ----------
 
Hc = 925.8439190912462 A/m
W = --- J/kg^3
 
--------------------------
 
t	U1	U2	H	B_raw	J_raw	B_drift	 J_drift	B_corr	J_corr
0.000150	0.016113	0.407928	433.6259417564661	0.350740	0.350196	0.35101533618850456	0.35047134753365733	0.2812345133303801	0.2806918544832126
0.000151	0.016449	0.407837	442.6498467564661	0.357347	0.356792	0.35762417176309463	0.35706918318388176	0.28784334890497015	0.287289690133437
0.000152	0.016708	0.407684	449.62286375646613	0.363952	0.363387	0.36423100733768465	0.36366601883410615	0.2944501844795602	0.2938865257836614
0.000154	0.017014	0.407440	457.8264127564661	0.370551	0.369977	0.3708336784868647	0.3702596901345549	0.30105285562874023	0.30048019708411017
0.000155	0.017242	0.406982	463.9790747564661	0.377145	0.376563	0.37742951406145475	0.37684752578477926	0.30764869120333027	0.30706803273433453
0.000156	0.017441	0.406677	469.3113817564661	0.383734	0.383144	0.3840203496360448	0.38343036143500364	0.31423952677792033	0.3136508683845589
0.000157	0.017822	0.406464	479.5658187564661	0.390318	0.389716	0.3906061852106348	0.39000419708522804	0.3208253623525103	0.3202247040347833
0.000159	0.018127	0.406097	487.7693677564661	0.396897	0.396284	0.3971888563598149	0.3965758683856768	0.3274080335016904	0.3267963753352321
0.000160	0.018356	0.405701	493.9220297564661	0.403469	0.402849	0.4037626919344049	0.4031427040359012	0.3339818690762804	0.33336321098545646
0.000161	0.018585	0.405273	500.0746917564661	0.410034	0.409406	0.41032952750899493	0.40970153968612555	0.34054870465087045	0.3399220466356808
0.000162	0.018890	0.404755	508.2782417564661	0.416592	0.415954	0.416889363083585	0.4162513753363499	0.3471085402254605	0.3464718822859052
0.000164	0.019272	0.404480	518.5326787564661	0.423144	0.422493	0.423445034232765	0.4227940466367987	0.35366421137464055	0.353014553586354
0.000165	0.019424	0.403961	522.6344527564661	0.429688	0.429032	0.42999086980735507	0.4293348822870231	0.3602100469492306	0.35955538923657837
0.000166	0.019699	0.403351	530.0176477564662	0.436222	0.435557	0.4365267053819451	0.4358617179372475	0.3667458825238206	0.36608222488680275
0.000167	0.020142	0.402771	541.912793756466	0.442747	0.442067	0.4430535409565351	0.4423735535874718	0.3732727180984106	0.3725940605370271
0.000169	0.020294	0.402161	546.0145687564661	0.449262	0.448576	0.4495722121057152	0.44888622488792057	0.3797913892475907	0.37910673183747584
0.000170	0.020523	0.401337	552.1672307564661	0.455763	0.455070	0.45607504768030516	0.45538206053814495	0.3862942248221807	0.3856025674877002
0.000171	0.020920	0.400543	562.8318447564661	0.462252	0.461546	0.4625658832548952	0.46185989618836937	0.39278506039677075	0.39208040313792464
0.000172	0.021210	0.399872	570.6252167564662	0.468730	0.468013	0.46904571882948526	0.46832873183859375	0.3992648959713608	0.398549238788149
0.000174	0.021393	0.398987	575.5473467564661	0.475194	0.474471	0.4755133899786653	0.4747904031390425	0.40573256712054084	0.4050109100885978
0.000175	0.021637	0.398346	582.1101857564661	0.481647	0.480916	0.48196822555325536	0.48123723878926694	0.4121874026951309	0.4114577457388222
0.000176	0.022034	0.397644	592.774800756466	0.488089	0.487345	0.48841206112784535	0.4876680744394913	0.4186312382697209	0.41788858138904655
0.000177	0.022354	0.396973	601.3885277564661	0.494519	0.493764	0.4948438967024354	0.49408891008971567	0.4250630738443109	0.42430941703927094
0.000179	0.022552	0.395996	606.720834756466	0.500935	0.500173	0.5012635678516155	0.5005015813901644	0.43148274499349104	0.4307220883397197
0.000180	0.022812	0.395264	613.6938517564661	0.507338	0.506568	0.5076684034262055	0.5068984170403888	0.43788758056808097	0.4371189239899441
0.000181	0.023178	0.394379	623.538110756466	0.513727	0.512944	0.5140592390007955	0.5132762526906132	0.44427841614267105	0.44349675964016844
